48.5	0.0008	0.11255541
48.5	0.0145	0.01255541
48.5	0.0291	-0.08744459
48.5	0.0437	-0.18744459
48.5	0.0563	-0.28744459
48.5	0.0611	-0.33744459
48.5	0.0646	-0.38744459
48.5	0.0668	-0.43744459
48.5	0.0678	-0.48744459
48.5	0.0678	-0.53744459
48.5	0.0662	-0.58744459
48.5	0.0643	-0.63744459
48.5	0.0606	-0.68744459
48.5	0.0549	-0.73744459
48.5	0.0468	-0.78744459
48.5	0.041	-0.81244459
48.5	0.0335	-0.83744459
48.5	0.0232	-0.86244459
48.5	0.016	-0.87494459
48.5	0.0123	-0.87994459
48.5	0.01	-0.88244459
48.5	0.007	-0.88494459
48.5	0	-0.88744459
48.5	-0.0051	-0.88494459
48.5	-0.0066	-0.88244459
48.5	-0.0077	-0.87994459
48.5	-0.0091	-0.87494459
48.5	-0.0116	-0.86244459
48.5	-0.0148	-0.83744459
48.5	-0.0174	-0.81244459
48.5	-0.02	-0.78744459
48.5	-0.0246	-0.73744459
48.5	-0.0291	-0.68744459
48.5	-0.0331	-0.63744459
48.5	-0.0359	-0.58744459
48.5	-0.0388	-0.53744459
48.5	-0.0402	-0.48744459
48.5	-0.0404	-0.43744459
48.5	-0.0393	-0.38744459
48.5	-0.0371	-0.33744459
48.5	-0.0339	-0.28744459
48.5	-0.0257	-0.18744459
48.5	-0.0172	-0.08744459
48.5	-0.0086	0.01255541
48.5	-0.0008	0.11255541
